config,member,step,lead_time_hours,variable,min_value,max_value,n_bad_points,n_total_points,violating_fraction
bred_vector_winter,0,0,0.0,u10m,-35.03399658203125,31.426002502441406,0,1038240,0.0
bred_vector_winter,0,0,0.0,v10m,-33.25571823120117,37.394283294677734,0,1038240,0.0
bred_vector_winter,0,0,0.0,u100m,-44.15428161621094,36.775718688964844,0,1038240,0.0
bred_vector_winter,0,0,0.0,v100m,-40.04812240600586,46.321876525878906,0,1038240,0.0
bred_vector_winter,0,0,0.0,t2m,221.86669921875,313.66668701171875,0,1038240,0.0
bred_vector_winter,0,0,0.0,sp,48610.13671875,106746.140625,0,1038240,0.0
bred_vector_winter,0,0,0.0,msl,96488.5546875,107628.359375,0,1038240,0.0
bred_vector_winter,0,0,0.0,tcwv,0.11696913093328476,74.92176818847656,0,1038240,0.0
bred_vector_winter,0,0,0.0,u50,-29.48366928100586,49.16633224487305,0,1038240,0.0
bred_vector_winter,0,0,0.0,u100,-39.93034744262695,63.729652404785156,0,1038240,0.0
bred_vector_winter,0,0,0.0,u150,-42.99842834472656,82.30157470703125,0,1038240,0.0
bred_vector_winter,0,0,0.0,u200,-30.253942489624023,87.44606018066406,0,1038240,0.0
bred_vector_winter,0,0,0.0,u250,-47.61703109741211,93.58296966552734,0,1038240,0.0
bred_vector_winter,0,0,0.0,u300,-51.88785934448242,88.81214141845703,0,1038240,0.0
bred_vector_winter,0,0,0.0,u400,-48.20042037963867,77.39958190917969,0,1038240,0.0
bred_vector_winter,0,0,0.0,u500,-42.262569427490234,59.397430419921875,0,1038240,0.0
bred_vector_winter,0,0,0.0,u600,-45.362884521484375,48.99711608886719,0,1038240,0.0
bred_vector_winter,0,0,0.0,u700,-49.548072814941406,48.291927337646484,0,1038240,0.0
bred_vector_winter,0,0,0.0,u850,-48.85525894165039,40.014739990234375,0,1038240,0.0
bred_vector_winter,0,0,0.0,u925,-49.38679504394531,38.62320327758789,0,1038240,0.0
bred_vector_winter,0,0,0.0,u1000,-33.993568420410156,29.816431045532227,0,1038240,0.0
bred_vector_winter,0,0,0.0,v50,-46.57731628417969,38.66268539428711,0,1038240,0.0
bred_vector_winter,0,0,0.0,v100,-37.793304443359375,28.136693954467773,0,1038240,0.0
bred_vector_winter,0,0,0.0,v150,-52.11835861206055,46.88164138793945,0,1038240,0.0
bred_vector_winter,0,0,0.0,v200,-68.65480041503906,61.545204162597656,0,1038240,0.0
bred_vector_winter,0,0,0.0,v250,-77.2505111694336,73.8494873046875,0,1038240,0.0
bred_vector_winter,0,0,0.0,v300,-77.50389099121094,74.29610443115234,0,1038240,0.0
bred_vector_winter,0,0,0.0,v400,-62.1110954284668,61.8889045715332,0,1038240,0.0
bred_vector_winter,0,0,0.0,v500,-49.71723937988281,47.142757415771484,0,1038240,0.0
bred_vector_winter,0,0,0.0,v600,-38.08123779296875,42.478763580322266,0,1038240,0.0
bred_vector_winter,0,0,0.0,v700,-37.81047439575195,48.519527435302734,0,1038240,0.0
bred_vector_winter,0,0,0.0,v850,-39.03687286376953,50.31312561035156,0,1038240,0.0
bred_vector_winter,0,0,0.0,v925,-42.48823547363281,52.27176284790039,0,1038240,0.0
bred_vector_winter,0,0,0.0,v1000,-31.4504451751709,35.80955505371094,0,1038240,0.0
bred_vector_winter,0,0,0.0,z50,189526.15625,203482.25,0,1038240,0.0
bred_vector_winter,0,0,0.0,z100,149289.46875,163929.125,0,1038240,0.0
bred_vector_winter,0,0,0.0,z150,124658.2578125,140777.65625,0,1038240,0.0
bred_vector_winter,0,0,0.0,z200,106876.125,122991.2109375,0,1038240,0.0
bred_vector_winter,0,0,0.0,z250,92773.4296875,108166.890625,0,1038240,0.0
bred_vector_winter,0,0,0.0,z300,81074.1171875,95517.1796875,0,1038240,0.0
bred_vector_winter,0,0,0.0,z400,62452.49609375,74919.4375,0,1038240,0.0
bred_vector_winter,0,0,0.0,z500,47772.33984375,58230.9765625,0,1038240,0.0
bred_vector_winter,0,0,0.0,z600,35557.88671875,43972.51171875,0,1038240,0.0
bred_vector_winter,0,0,0.0,z700,24846.048828125,32252.677734375,0,1038240,0.0
bred_vector_winter,0,0,0.0,z850,9988.0244140625,18028.45703125,0,1038240,0.0
bred_vector_winter,0,0,0.0,z925,3345.27783203125,11660.0771484375,0,1038240,0.0
bred_vector_winter,0,0,0.0,z1000,-2842.6943359375,5691.69189453125,0,1038240,0.0
bred_vector_winter,0,0,0.0,t50,191.5208740234375,237.05087280273438,0,1038240,0.0
bred_vector_winter,0,0,0.0,t100,184.2730712890625,233.7730712890625,0,1038240,0.0
bred_vector_winter,0,0,0.0,t150,200.4562530517578,236.71624755859375,0,1038240,0.0
bred_vector_winter,0,0,0.0,t200,200.34913635253906,238.43914794921875,0,1038240,0.0
bred_vector_winter,0,0,0.0,t250,203.25350952148438,239.9835205078125,0,1038240,0.0
bred_vector_winter,0,0,0.0,t300,208.6635284423828,251.7035369873047,0,1038240,0.0
bred_vector_winter,0,0,0.0,t400,217.93939208984375,266.5194091796875,0,1038240,0.0
bred_vector_winter,0,0,0.0,t500,224.60665893554688,273.75665283203125,0,1038240,0.0
bred_vector_winter,0,0,0.0,t600,230.11798095703125,286.8479919433594,0,1038240,0.0
bred_vector_winter,0,0,0.0,t700,236.52935791015625,296.8193664550781,0,1038240,0.0
bred_vector_winter,0,0,0.0,t850,232.56668090820312,307.6766662597656,0,1038240,0.0
bred_vector_winter,0,0,0.0,t925,230.27081298828125,312.3708190917969,0,1038240,0.0
bred_vector_winter,0,0,0.0,t1000,222.4696807861328,316.6796875,0,1038240,0.0
bred_vector_winter,0,0,0.0,q50,1.0959999574566837e-09,2.004712087000371e-06,0,1038240,0.0
bred_vector_winter,0,0,0.0,q100,9.999995276288587e-10,3.658087962321588e-06,0,1038240,0.0
bred_vector_winter,0,0,0.0,q150,1.4511825074947637e-09,2.8038572054356337e-05,0,1038240,0.0
bred_vector_winter,0,0,0.0,q200,2.186980818663642e-09,0.00018025818280875683,0,1038240,0.0
bred_vector_winter,0,0,0.0,q250,9.999991945619513e-10,0.0006431370275095105,0,1038240,0.0
bred_vector_winter,0,0,0.0,q300,9.999979733166242e-10,0.0015253450255841017,0,1038240,0.0
bred_vector_winter,0,0,0.0,q400,1.000000082740371e-09,0.0039212810806930065,0,1038240,0.0
bred_vector_winter,0,0,0.0,q500,1.00000274727563e-09,0.006797696929425001,0,1038240,0.0
bred_vector_winter,0,0,0.0,q600,1.0000069661231237e-09,0.009504768997430801,0,1038240,0.0
bred_vector_winter,0,0,0.0,q700,1.2722093378769728e-09,0.01329376082867384,0,1038240,0.0
bred_vector_winter,0,0,0.0,q850,2.1053311627383664e-07,0.021198930218815804,0,1038240,0.0
bred_vector_winter,0,0,0.0,q925,1.3943050589659833e-06,0.02564811520278454,0,1038240,0.0
bred_vector_winter,0,0,0.0,q1000,2.2144220565678552e-05,0.030377984046936035,0,1038240,0.0
bred_vector_winter,0,1,6.0,u10m,-23.852760314941406,19.116558074951172,0,1038240,0.0
bred_vector_winter,0,1,6.0,v10m,-21.522748947143555,22.114362716674805,0,1038240,0.0
bred_vector_winter,0,1,6.0,u100m,-29.95946502685547,23.509334564208984,0,1038240,0.0
bred_vector_winter,0,1,6.0,v100m,-25.50950050354004,30.304546356201172,0,1038240,0.0
bred_vector_winter,0,1,6.0,t2m,222.45547485351562,319.0262145996094,0,1038240,0.0
bred_vector_winter,0,1,6.0,sp,48698.8359375,106243.8125,0,1038240,0.0
bred_vector_winter,0,1,6.0,msl,96688.0390625,105963.1875,0,1038240,0.0
bred_vector_winter,0,1,6.0,tcwv,-1.9442710876464844,72.76850891113281,26891,1038240,0.025900562490368314
bred_vector_winter,0,1,6.0,u50,-27.227676391601562,48.58617401123047,0,1038240,0.0
bred_vector_winter,0,1,6.0,u100,-33.74956512451172,59.00997543334961,0,1038240,0.0
bred_vector_winter,0,1,6.0,u150,-37.288246154785156,76.7491683959961,0,1038240,0.0
bred_vector_winter,0,1,6.0,u200,-27.9757137298584,84.82457733154297,0,1038240,0.0
bred_vector_winter,0,1,6.0,u250,-33.086483001708984,86.26991271972656,0,1038240,0.0
bred_vector_winter,0,1,6.0,u300,-44.6750373840332,81.60375213623047,0,1038240,0.0
bred_vector_winter,0,1,6.0,u400,-46.899993896484375,67.61332702636719,0,1038240,0.0
bred_vector_winter,0,1,6.0,u500,-41.471832275390625,54.866424560546875,0,1038240,0.0
bred_vector_winter,0,1,6.0,u600,-33.14420700073242,42.988861083984375,0,1038240,0.0
bred_vector_winter,0,1,6.0,u700,-33.27956008911133,36.94197082519531,0,1038240,0.0
bred_vector_winter,0,1,6.0,u850,-35.66191101074219,32.16071701049805,0,1038240,0.0
bred_vector_winter,0,1,6.0,u925,-37.09034729003906,28.5949764251709,0,1038240,0.0
bred_vector_winter,0,1,6.0,u1000,-24.790790557861328,21.461193084716797,0,1038240,0.0
bred_vector_winter,0,1,6.0,v50,-43.79454040527344,32.31233215332031,0,1038240,0.0
bred_vector_winter,0,1,6.0,v100,-28.917734146118164,28.078908920288086,0,1038240,0.0
bred_vector_winter,0,1,6.0,v150,-48.199405670166016,42.48044204711914,0,1038240,0.0
bred_vector_winter,0,1,6.0,v200,-62.099586486816406,63.461368560791016,0,1038240,0.0
bred_vector_winter,0,1,6.0,v250,-68.20677185058594,74.95508575439453,0,1038240,0.0
bred_vector_winter,0,1,6.0,v300,-66.10848236083984,72.19579315185547,0,1038240,0.0
bred_vector_winter,0,1,6.0,v400,-61.42426300048828,60.71519088745117,0,1038240,0.0
bred_vector_winter,0,1,6.0,v500,-47.39190673828125,46.71322250366211,0,1038240,0.0
bred_vector_winter,0,1,6.0,v600,-40.64255905151367,40.10873031616211,0,1038240,0.0
bred_vector_winter,0,1,6.0,v700,-30.102453231811523,41.288726806640625,0,1038240,0.0
bred_vector_winter,0,1,6.0,v850,-29.73394775390625,46.13533020019531,0,1038240,0.0
bred_vector_winter,0,1,6.0,v925,-29.218053817749023,39.13988494873047,0,1038240,0.0
bred_vector_winter,0,1,6.0,v1000,-20.945178985595703,22.954416275024414,0,1038240,0.0
bred_vector_winter,0,1,6.0,z50,189629.9375,203498.578125,0,1038240,0.0
bred_vector_winter,0,1,6.0,z100,149319.984375,163817.953125,0,1038240,0.0
bred_vector_winter,0,1,6.0,z150,124665.3671875,140656.359375,0,1038240,0.0
bred_vector_winter,0,1,6.0,z200,106821.828125,122809.4765625,0,1038240,0.0
bred_vector_winter,0,1,6.0,z250,92675.8984375,107986.2734375,0,1038240,0.0
bred_vector_winter,0,1,6.0,z300,81001.8671875,95382.2578125,0,1038240,0.0
bred_vector_winter,0,1,6.0,z400,62396.6796875,75064.578125,0,1038240,0.0
bred_vector_winter,0,1,6.0,z500,47742.375,58366.7734375,0,1038240,0.0
bred_vector_winter,0,1,6.0,z600,35567.1015625,44105.82421875,0,1038240,0.0
bred_vector_winter,0,1,6.0,z700,24857.490234375,31794.8671875,0,1038240,0.0
bred_vector_winter,0,1,6.0,z850,10136.115234375,17165.8046875,0,1038240,0.0
bred_vector_winter,0,1,6.0,z925,3516.556396484375,10592.9921875,0,1038240,0.0
bred_vector_winter,0,1,6.0,z1000,-2660.88134765625,4487.326171875,0,1038240,0.0
bred_vector_winter,0,1,6.0,t50,192.77088928222656,237.4964599609375,0,1038240,0.0
bred_vector_winter,0,1,6.0,t100,184.708740234375,233.45846557617188,0,1038240,0.0
bred_vector_winter,0,1,6.0,t150,201.344482421875,233.9042510986328,0,1038240,0.0
bred_vector_winter,0,1,6.0,t200,200.91197204589844,236.13694763183594,0,1038240,0.0
bred_vector_winter,0,1,6.0,t250,203.60867309570312,238.8605194091797,0,1038240,0.0
bred_vector_winter,0,1,6.0,t300,209.52255249023438,248.64773559570312,0,1038240,0.0
bred_vector_winter,0,1,6.0,t400,218.37960815429688,262.3763732910156,0,1038240,0.0
