config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
bred_vector_winter,0,0,0.0,285.6632080078125,101169.8828125,98552.78125,23.835636138916016,55374.140625,25.16681671142578
bred_vector_winter,0,1,6.0,285.9205627441406,101163.859375,98561.4375,24.06876564025879,55371.35546875,24.351634979248047
bred_vector_winter,0,2,12.0,286.35736083984375,101155.234375,98567.53125,24.056781768798828,55376.25,23.877819061279297
bred_vector_winter,0,3,18.0,286.05560302734375,101158.140625,98574.28125,24.131486892700195,55380.58203125,24.55938148498535
bred_vector_winter,0,4,24.0,285.58465576171875,101162.2265625,98578.515625,24.101943969726562,55375.84765625,24.16448211669922
bred_vector_winter,0,5,30.0,285.88232421875,101162.71875,98583.8828125,24.13962173461914,55371.7734375,24.804462432861328
bred_vector_winter,0,6,36.0,286.3595275878906,101155.2265625,98585.171875,24.07670783996582,55374.0390625,24.36757469177246
bred_vector_winter,0,7,42.0,286.04998779296875,101159.578125,98589.078125,24.10536003112793,55377.90625,24.930204391479492
bred_vector_winter,0,8,48.0,285.5792236328125,101165.3125,98591.0859375,24.070335388183594,55372.00390625,24.372753143310547
bred_vector_winter,0,9,54.0,285.8638000488281,101166.96875,98594.4375,24.13204002380371,55366.0625,25.094240188598633
bred_vector_winter,0,10,60.0,286.3770446777344,101161.671875,98594.3828125,24.094717025756836,55367.359375,24.807214736938477
bred_vector_winter,0,11,66.0,286.04376220703125,101167.0859375,98597.1796875,24.133251190185547,55371.43359375,25.666383743286133
bred_vector_winter,0,12,72.0,285.5700988769531,101172.6875,98597.9296875,24.102006912231445,55365.0859375,25.3725528717041
bred_vector_winter,0,13,78.0,285.8490295410156,101173.2265625,98599.5859375,24.16813850402832,55359.5390625,26.105966567993164
bred_vector_winter,0,14,84.0,286.3424072265625,101166.7734375,98598.0,24.101558685302734,55361.93359375,25.61044692993164
bred_vector_winter,0,15,90.0,286.0032653808594,101171.359375,98599.2890625,24.11761474609375,55366.97265625,26.137401580810547
bred_vector_winter,0,16,96.0,285.5218811035156,101176.5078125,98598.734375,24.056011199951172,55362.09765625,25.439266204833984
bred_vector_winter,0,17,102.0,285.81622314453125,101176.171875,98598.9296875,24.122177124023438,55357.36328125,26.055667877197266
bred_vector_winter,0,18,108.0,286.3009033203125,101169.2265625,98596.84375,24.075206756591797,55360.69921875,25.644386291503906
bred_vector_winter,0,19,114.0,285.97332763671875,101172.8046875,98597.421875,24.106914520263672,55365.296875,26.446035385131836
bred_vector_winter,0,20,120.0,285.4968566894531,101176.21875,98596.515625,24.08203125,55359.79296875,25.99400520324707
bred_vector_winter,1,0,0.0,288.8594665527344,101120.140625,98539.125,46.62055969238281,56324.22265625,25.264955520629883
bred_vector_winter,1,1,6.0,290.0035400390625,101063.6875,98509.1640625,43.20176696777344,56347.32421875,22.72749137878418
bred_vector_winter,1,2,12.0,290.6669921875,101035.6796875,98488.7265625,40.882911682128906,56365.38671875,24.324583053588867
bred_vector_winter,1,3,18.0,290.9816589355469,101023.2109375,98474.734375,39.41288375854492,56386.296875,24.884584426879883
bred_vector_winter,1,4,24.0,291.0860900878906,101029.515625,98473.4140625,38.61475372314453,56412.08203125,25.204750061035156
bred_vector_winter,1,5,30.0,291.08416748046875,101039.8671875,98474.5703125,38.095741271972656,56434.91015625,25.74668312072754
bred_vector_winter,1,6,36.0,291.14215087890625,101047.65625,98474.828125,37.86381530761719,56451.46484375,25.67751121520996
bred_vector_winter,1,7,42.0,291.18133544921875,101058.890625,98476.8125,37.79479217529297,56468.98828125,25.598297119140625
bred_vector_winter,1,8,48.0,291.1944885253906,101075.8125,98482.6484375,37.73339080810547,56491.15625,25.359891891479492
bred_vector_winter,1,9,54.0,291.15289306640625,101093.8671875,98491.59375,37.79505157470703,56512.2265625,24.697494506835938
bred_vector_winter,1,10,60.0,291.2084655761719,101109.84375,98499.9921875,37.92633056640625,56533.0625,24.86859893798828
bred_vector_winter,1,11,66.0,291.2010192871094,101122.6953125,98505.3046875,38.043697357177734,56553.80859375,24.769752502441406
bred_vector_winter,1,12,72.0,291.16705322265625,101137.9609375,98513.0546875,38.12519454956055,56576.71875,24.53096580505371
bred_vector_winter,1,13,78.0,291.1536560058594,101152.9375,98521.375,38.17708206176758,56600.63671875,24.473400115966797
bred_vector_winter,1,14,84.0,291.2633361816406,101169.5390625,98533.8359375,38.17408752441406,56626.1171875,24.616506576538086
bred_vector_winter,1,15,90.0,291.2763366699219,101186.1796875,98544.9921875,38.252986907958984,56650.7890625,24.77396583557129
bred_vector_winter,1,16,96.0,291.24835205078125,101202.0703125,98552.984375,38.382789611816406,56674.5078125,24.882768630981445
bred_vector_winter,1,17,102.0,291.235107421875,101216.0546875,98560.765625,38.55018997192383,56700.9921875,24.83424186706543
bred_vector_winter,1,18,108.0,291.3641357421875,101228.4765625,98569.90625,38.76933670043945,56727.09375,24.714195251464844
bred_vector_winter,1,19,114.0,291.377197265625,101237.4453125,98572.59375,38.946693420410156,56746.2890625,25.31536865234375
bred_vector_winter,1,20,120.0,291.3655700683594,101249.34375,98576.5625,39.2038459777832,56765.95703125,25.43152618408203
bred_vector_winter,2,0,0.0,288.9861145019531,101057.5703125,98378.3359375,48.79029083251953,56358.95703125,26.02484893798828
bred_vector_winter,2,1,6.0,290.3860168457031,100964.46875,98324.6875,45.04521560668945,56380.94140625,18.0382137298584
bred_vector_winter,2,2,12.0,291.1744384765625,100922.7734375,98302.4296875,42.783653259277344,56411.24609375,18.870922088623047
bred_vector_winter,2,3,18.0,291.66937255859375,100909.5,98292.5390625,41.39860534667969,56449.953125,20.279743194580078
bred_vector_winter,2,4,24.0,291.9148254394531,100914.9140625,98294.1015625,40.626007080078125,56486.73046875,21.147783279418945
bred_vector_winter,2,5,30.0,291.98388671875,100928.3828125,98300.578125,40.25200653076172,56519.34375,21.490215301513672
bred_vector_winter,2,6,36.0,291.9871520996094,100940.6796875,98304.671875,40.02388000488281,56551.23828125,21.963611602783203
bred_vector_winter,2,7,42.0,292.0651550292969,100945.1640625,98301.515625,39.9567756652832,56579.609375,22.149717330932617
bred_vector_winter,2,8,48.0,292.0683898925781,100957.4375,98303.765625,39.86503601074219,56603.8671875,23.14698028564453
bred_vector_winter,2,9,54.0,292.013916015625,100975.671875,98313.25,39.79261016845703,56630.671875,24.66227149963379
bred_vector_winter,2,10,60.0,292.0260925292969,100995.28125,98324.7578125,39.80313491821289,56652.421875,26.018657684326172
bred_vector_winter,2,11,66.0,292.06365966796875,101008.15625,98331.828125,39.916683197021484,56676.33203125,25.978282928466797
bred_vector_winter,2,12,72.0,292.0489196777344,101029.3125,98348.546875,40.0274543762207,56704.92578125,25.081695556640625
bred_vector_winter,2,13,78.0,291.99310302734375,101047.9765625,98364.7890625,40.14411544799805,56728.859375,24.45968246459961
bred_vector_winter,2,14,84.0,291.9635925292969,101063.90625,98378.390625,40.23627853393555,56748.62109375,24.56969451904297
bred_vector_winter,2,15,90.0,292.00262451171875,101075.484375,98388.1796875,40.301883697509766,56768.98046875,24.309219360351562
bred_vector_winter,2,16,96.0,291.9876403808594,101092.1796875,98400.8984375,40.286033630371094,56788.44140625,24.186418533325195
bred_vector_winter,2,17,102.0,291.9591064453125,101109.8203125,98415.140625,40.25875473022461,56807.3046875,24.788747787475586
bred_vector_winter,2,18,108.0,291.9627990722656,101124.0,98426.75,40.2473258972168,56824.109375,25.316621780395508
bred_vector_winter,2,19,114.0,292.02166748046875,101136.078125,98433.71875,40.214317321777344,56841.0703125,25.992368698120117
bred_vector_winter,2,20,120.0,291.9902648925781,101153.015625,98443.5,40.12639617919922,56859.2890625,26.103092193603516
bred_vector_winter,3,0,0.0,288.7496337890625,101177.328125,98401.3828125,49.57673263549805,56409.0625,25.247314453125
bred_vector_winter,3,1,6.0,289.9594421386719,101087.9609375,98338.90625,46.3094482421875,56420.69921875,17.90035629272461
bred_vector_winter,3,2,12.0,290.4974365234375,101039.8984375,98303.84375,44.08368682861328,56433.6640625,18.924842834472656
bred_vector_winter,3,3,18.0,290.8566589355469,101012.5234375,98280.8828125,42.658592224121094,56447.24609375,21.671350479125977
bred_vector_winter,3,4,24.0,291.1655578613281,100995.703125,98261.609375,41.6713981628418,56463.5390625,24.234834671020508
bred_vector_winter,3,5,30.0,291.3343811035156,100987.3359375,98250.1796875,41.135284423828125,56480.9921875,26.42525863647461
bred_vector_winter,3,6,36.0,291.3834533691406,100987.65625,98245.421875,40.87350082397461,56499.45703125,28.681894302368164
bred_vector_winter,3,7,42.0,291.4497375488281,100986.0390625,98237.4375,40.79258346557617,56514.328125,30.244606018066406
bred_vector_winter,3,8,48.0,291.5624084472656,100990.6875,98233.28125,40.68112564086914,56534.51953125,31.57383155822754
bred_vector_winter,3,9,54.0,291.5975646972656,101001.703125,98237.1484375,40.56576919555664,56564.10546875,32.815853118896484
bred_vector_winter,3,10,60.0,291.6165771484375,101019.4453125,98249.265625,40.57883071899414,56599.46484375,33.58953094482422
bred_vector_winter,3,11,66.0,291.6585693359375,101033.859375,98257.171875,40.63168716430664,56631.4453125,34.104976654052734
bred_vector_winter,3,12,72.0,291.7435302734375,101050.015625,98267.734375,40.715492248535156,56662.203125,33.94245910644531
bred_vector_winter,3,13,78.0,291.7464599609375,101063.4453125,98279.8671875,40.79032516479492,56691.265625,33.70559310913086
bred_vector_winter,3,14,84.0,291.73199462890625,101075.625,98292.0703125,40.85389709472656,56720.86328125,34.04804992675781
bred_vector_winter,3,15,90.0,291.74981689453125,101086.109375,98302.546875,40.941612243652344,56748.54296875,34.71548843383789
bred_vector_winter,3,16,96.0,291.8268737792969,101097.171875,98313.296875,40.943458557128906,56777.66796875,34.67707443237305
bred_vector_winter,3,17,102.0,291.8587341308594,101107.1171875,98324.6015625,40.86202621459961,56806.08984375,35.36373519897461
bred_vector_winter,3,18,108.0,291.8590393066406,101119.7421875,98338.828125,40.860774993896484,56835.0,34.971614837646484
bred_vector_winter,3,19,114.0,291.8903503417969,101132.078125,98350.8515625,40.958534240722656,56861.8359375,34.098228454589844
bred_vector_winter,3,20,120.0,291.95745849609375,101142.921875,98361.2421875,41.00991439819336,56888.30078125,33.35808181762695
