config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
gaussian_0.05,0,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55954.65625,28.030807495117188
gaussian_0.05,0,1,6.0,289.9397277832031,101147.921875,98586.4921875,27.53135871887207,55953.76171875,27.229013442993164
gaussian_0.05,0,2,12.0,290.43695068359375,101138.03125,98589.71875,27.46768569946289,55964.64453125,26.543458938598633
gaussian_0.05,0,3,18.0,290.22723388671875,101137.0390625,98593.6484375,27.575010299682617,55971.3125,26.836952209472656
gaussian_0.05,0,4,24.0,289.69952392578125,101138.4296875,98595.734375,27.560747146606445,55968.69921875,26.27693748474121
gaussian_0.05,0,5,30.0,290.0235290527344,101134.765625,98598.90625,27.67137908935547,55965.984375,26.5274715423584
gaussian_0.05,0,6,36.0,290.4718933105469,101129.796875,98602.1171875,27.584550857543945,55975.2734375,25.672222137451172
gaussian_0.05,0,7,42.0,290.265869140625,101132.0546875,98604.8828125,27.64912223815918,55980.69921875,25.84641456604004
gaussian_0.05,0,8,48.0,289.7165222167969,101136.1640625,98605.8203125,27.598011016845703,55974.78515625,25.169689178466797
gaussian_0.05,0,9,54.0,290.0494689941406,101134.453125,98607.921875,27.69820785522461,55968.59765625,25.373701095581055
gaussian_0.05,0,10,60.0,290.4617614746094,101131.59375,98610.25,27.611230850219727,55974.65625,24.43468475341797
gaussian_0.05,0,11,66.0,290.2579650878906,101134.9453125,98611.78125,27.674346923828125,55978.125,24.474895477294922
gaussian_0.05,0,12,72.0,289.7143249511719,101139.921875,98611.7734375,27.639381408691406,55971.33203125,23.671201705932617
gaussian_0.05,0,13,78.0,290.026123046875,101138.7734375,98612.3046875,27.743799209594727,55964.38671875,23.82696533203125
gaussian_0.05,0,14,84.0,290.421630859375,101135.6328125,98613.125,27.66399383544922,55969.74609375,23.176755905151367
gaussian_0.05,0,15,90.0,290.2168273925781,101138.75,98613.7421875,27.721147537231445,55971.7109375,23.38231086730957
gaussian_0.05,0,16,96.0,289.6981506347656,101143.421875,98612.9921875,27.670045852661133,55962.93359375,22.707618713378906
gaussian_0.05,0,17,102.0,290.00323486328125,101141.5,98612.671875,27.752201080322266,55953.23046875,22.957998275756836
gaussian_0.05,0,18,108.0,290.4021911621094,101136.859375,98612.6484375,27.667320251464844,55956.5703125,22.380826950073242
gaussian_0.05,0,19,114.0,290.2062072753906,101139.15625,98613.0234375,27.72998809814453,55957.29296875,22.75550651550293
gaussian_0.05,0,20,120.0,289.6675720214844,101143.21875,98611.8359375,27.70440673828125,55948.1484375,22.397350311279297
gaussian_0.05,1,0,0.0,289.7088928222656,101154.640625,98586.484375,27.26251792907715,55954.65625,28.03282356262207
gaussian_0.05,1,1,6.0,-1130.3204345703125,172552.890625,141829.890625,5027.19580078125,97727.078125,613693.625
gaussian_0.05,1,2,12.0,-1440.015869140625,217141.40625,169752.03125,9478.03515625,150441.0625,1018554.3125
gaussian_0.05,1,3,18.0,-1291.53076171875,236867.609375,182755.9375,13003.380859375,207652.25,1209600.125
gaussian_0.05,1,4,24.0,-974.35888671875,237416.453125,182392.78125,15648.9296875,266063.125,1337970.75
gaussian_0.05,1,5,30.0,-705.12060546875,225782.96875,173262.6875,17594.10546875,324614.71875,1444937.125
gaussian_0.05,1,6,36.0,-461.1493225097656,207569.859375,158757.46875,19047.111328125,382841.78125,1534310.0
gaussian_0.05,1,7,42.0,-190.9475555419922,186429.578125,141144.125,20168.990234375,440309.28125,1605790.5
gaussian_0.05,1,8,48.0,102.15931701660156,164609.625,122218.4609375,21070.638671875,496670.9375,1665896.5
gaussian_0.05,1,9,54.0,407.54656982421875,143594.0,103360.5625,21826.486328125,551514.3125,1716954.625
gaussian_0.05,1,10,60.0,716.1463012695312,124206.5703125,85383.609375,22483.91015625,604647.1875,1760890.125
gaussian_0.05,1,11,66.0,1021.6029052734375,106686.046875,68532.3671875,23071.55859375,656192.3125,1799835.875
gaussian_0.05,1,12,72.0,1320.23388671875,91005.9296875,52812.078125,23607.359375,706348.5625,1834864.75
gaussian_0.05,1,13,78.0,1610.3104248046875,77023.515625,38134.6015625,24103.25,755317.875,1866379.0
gaussian_0.05,1,14,84.0,1891.173583984375,64555.32421875,24383.43359375,24567.69140625,803268.4375,1894529.375
gaussian_0.05,1,15,90.0,2162.813720703125,53434.43359375,11456.7861328125,25007.119140625,850298.9375,1919474.625
gaussian_0.05,1,16,96.0,2425.67626953125,43526.80078125,-713.831298828125,25426.298828125,896428.8125,1941445.625
gaussian_0.05,1,17,102.0,2680.181640625,34723.3125,-12170.0859375,25828.640625,941622.25,1960755.625
