config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
ic_robustness_autumn,0,0,0.0,287.8679504394531,101166.7890625,98561.671875,24.704710006713867,55629.7421875,24.334667205810547
ic_robustness_autumn,0,1,6.0,288.17608642578125,101158.15625,98565.6015625,24.898103713989258,55625.2578125,23.406360626220703
ic_robustness_autumn,0,2,12.0,288.68939208984375,101149.5859375,98569.1953125,24.825162887573242,55629.890625,23.58640480041504
ic_robustness_autumn,0,3,18.0,288.4128112792969,101150.875,98573.96875,24.878965377807617,55633.1484375,24.26566505432129
ic_robustness_autumn,0,4,24.0,287.92877197265625,101153.53125,98577.265625,24.86382484436035,55626.72265625,24.056079864501953
ic_robustness_autumn,0,5,30.0,288.3143005371094,101151.0546875,98581.625,24.96043586730957,55623.75,24.403488159179688
ic_robustness_autumn,0,6,36.0,288.7584228515625,101145.96875,98584.5625,24.90078353881836,55629.3203125,24.197242736816406
ic_robustness_autumn,0,7,42.0,288.4164123535156,101150.6328125,98589.0703125,24.9349365234375,55634.99609375,24.391496658325195
ic_robustness_autumn,0,8,48.0,287.9242248535156,101156.59375,98591.828125,24.91747283935547,55629.73046875,23.978809356689453
ic_robustness_autumn,0,9,54.0,288.3347473144531,101155.9375,98595.3671875,24.988500595092773,55626.98828125,24.295211791992188
ic_robustness_autumn,0,10,60.0,288.7687072753906,101151.3515625,98596.546875,24.930925369262695,55631.3984375,24.040067672729492
ic_robustness_autumn,0,11,66.0,288.4150695800781,101155.359375,98598.4296875,24.976369857788086,55634.765625,24.104412078857422
ic_robustness_autumn,0,12,72.0,287.9246826171875,101160.3515625,98598.5625,24.956480026245117,55627.10546875,23.744211196899414
ic_robustness_autumn,0,13,78.0,288.32232666015625,101157.796875,98599.5625,25.031457901000977,55622.59375,24.180397033691406
ic_robustness_autumn,0,14,84.0,288.73980712890625,101150.609375,98597.9296875,24.95741081237793,55625.41015625,24.176206588745117
ic_robustness_autumn,0,15,90.0,288.3780212402344,101152.671875,98598.0703125,24.993247985839844,55628.60546875,24.719505310058594
ic_robustness_autumn,0,16,96.0,287.878662109375,101155.0703125,98596.015625,24.965045928955078,55620.25390625,24.681005477905273
ic_robustness_autumn,0,17,102.0,288.2830810546875,101151.671875,98595.2734375,25.031301498413086,55615.49609375,25.43168067932129
ic_robustness_autumn,0,18,108.0,288.6731872558594,101145.2421875,98592.953125,24.9603271484375,55618.5078125,25.43675994873047
ic_robustness_autumn,0,19,114.0,288.3153991699219,101148.703125,98592.8515625,25.01421356201172,55622.03125,25.896350860595703
ic_robustness_autumn,0,20,120.0,287.79638671875,101153.453125,98591.3125,25.007673263549805,55614.55078125,25.345355987548828
