config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
ic_robustness_spring,0,0,0.0,287.5252380371094,101184.671875,98565.09375,25.050865173339844,55581.00390625,24.183574676513672
ic_robustness_spring,0,1,6.0,287.86810302734375,101176.15625,98570.796875,25.303997039794922,55582.0078125,23.301576614379883
ic_robustness_spring,0,2,12.0,288.2940979003906,101165.9921875,98574.9296875,25.264596939086914,55589.57421875,22.71605110168457
ic_robustness_spring,0,3,18.0,288.01043701171875,101166.9296875,98581.765625,25.32787322998047,55594.28125,22.664756774902344
ic_robustness_spring,0,4,24.0,287.52801513671875,101168.4765625,98585.5078125,25.31657600402832,55587.171875,22.36202621459961
ic_robustness_spring,0,5,30.0,287.9371032714844,101164.609375,98590.21875,25.424646377563477,55583.2734375,22.814279556274414
ic_robustness_spring,0,6,36.0,288.35247802734375,101156.265625,98592.3828125,25.378887176513672,55588.12109375,22.593469619750977
ic_robustness_spring,0,7,42.0,288.0574645996094,101158.28125,98596.1328125,25.40790367126465,55592.73828125,23.015052795410156
ic_robustness_spring,0,8,48.0,287.5736999511719,101160.9921875,98597.1328125,25.40378761291504,55586.6796875,22.77997398376465
ic_robustness_spring,0,9,54.0,288.0180969238281,101159.9765625,98599.3203125,25.50946617126465,55584.7421875,23.531639099121094
ic_robustness_spring,0,10,60.0,288.4384765625,101153.609375,98599.0625,25.45599937438965,55590.8828125,23.113332748413086
ic_robustness_spring,0,11,66.0,288.15753173828125,101156.5234375,98600.9375,25.47212791442871,55596.14453125,23.61361312866211
ic_robustness_spring,0,12,72.0,287.6600341796875,101159.6171875,98600.296875,25.437009811401367,55589.62890625,22.987722396850586
ic_robustness_spring,0,13,78.0,288.09686279296875,101158.1875,98601.328125,25.495006561279297,55586.890625,23.663593292236328
ic_robustness_spring,0,14,84.0,288.48687744140625,101153.359375,98601.0390625,25.395919799804688,55592.3828125,23.1050968170166
ic_robustness_spring,0,15,90.0,288.1805114746094,101157.796875,98603.21875,25.375396728515625,55596.609375,23.155357360839844
ic_robustness_spring,0,16,96.0,287.6578063964844,101161.703125,98602.75,25.325275421142578,55588.71875,22.433223724365234
ic_robustness_spring,0,17,102.0,288.03680419921875,101160.7109375,98604.0234375,25.385639190673828,55584.78125,23.01255989074707
ic_robustness_spring,0,18,108.0,288.4269714355469,101155.1171875,98603.5234375,25.302776336669922,55589.25390625,22.39422607421875
ic_robustness_spring,0,19,114.0,288.1491394042969,101157.890625,98604.765625,25.31528091430664,55592.05078125,22.336597442626953
ic_robustness_spring,0,20,120.0,287.6428527832031,101160.4609375,98603.59375,25.291358947753906,55582.87109375,21.835899353027344
