config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
z500_brown_0.01,0,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55954.65625,28.030807495117188
z500_brown_0.01,0,1,6.0,289.9397277832031,101147.921875,98586.4921875,27.53135871887207,55953.76171875,27.229013442993164
z500_brown_0.01,0,2,12.0,290.43695068359375,101138.03125,98589.71875,27.46768569946289,55964.64453125,26.543458938598633
z500_brown_0.01,0,3,18.0,290.22723388671875,101137.0390625,98593.6484375,27.575010299682617,55971.3125,26.836952209472656
z500_brown_0.01,0,4,24.0,289.69952392578125,101138.4296875,98595.734375,27.560747146606445,55968.69921875,26.27693748474121
z500_brown_0.01,0,5,30.0,290.0235290527344,101134.765625,98598.90625,27.67137908935547,55965.984375,26.5274715423584
z500_brown_0.01,0,6,36.0,290.4718933105469,101129.796875,98602.1171875,27.584550857543945,55975.2734375,25.672222137451172
z500_brown_0.01,0,7,42.0,290.265869140625,101132.0546875,98604.8828125,27.64912223815918,55980.69921875,25.84641456604004
z500_brown_0.01,0,8,48.0,289.7165222167969,101136.1640625,98605.8203125,27.598011016845703,55974.78515625,25.169689178466797
z500_brown_0.01,0,9,54.0,290.0494689941406,101134.453125,98607.921875,27.69820785522461,55968.59765625,25.373701095581055
z500_brown_0.01,0,10,60.0,290.4617614746094,101131.59375,98610.25,27.611230850219727,55974.65625,24.43468475341797
z500_brown_0.01,0,11,66.0,290.2579650878906,101134.9453125,98611.78125,27.674346923828125,55978.125,24.474895477294922
z500_brown_0.01,0,12,72.0,289.7143249511719,101139.921875,98611.7734375,27.639381408691406,55971.33203125,23.671201705932617
z500_brown_0.01,0,13,78.0,290.026123046875,101138.7734375,98612.3046875,27.743799209594727,55964.38671875,23.82696533203125
z500_brown_0.01,0,14,84.0,290.421630859375,101135.6328125,98613.125,27.66399383544922,55969.74609375,23.176755905151367
z500_brown_0.01,0,15,90.0,290.2168273925781,101138.75,98613.7421875,27.721147537231445,55971.7109375,23.38231086730957
z500_brown_0.01,0,16,96.0,289.6981506347656,101143.421875,98612.9921875,27.670045852661133,55962.93359375,22.707618713378906
z500_brown_0.01,0,17,102.0,290.00323486328125,101141.5,98612.671875,27.752201080322266,55953.23046875,22.957998275756836
z500_brown_0.01,0,18,108.0,290.4021911621094,101136.859375,98612.6484375,27.667320251464844,55956.5703125,22.380826950073242
z500_brown_0.01,0,19,114.0,290.2062072753906,101139.15625,98613.0234375,27.72998809814453,55957.29296875,22.75550651550293
z500_brown_0.01,0,20,120.0,289.6675720214844,101143.21875,98611.8359375,27.70440673828125,55948.1484375,22.397350311279297
z500_brown_0.01,1,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55955.18359375,28.030807495117188
z500_brown_0.01,1,1,6.0,289.93939208984375,101147.96875,98586.546875,27.53534507751465,55953.6640625,27.22350311279297
z500_brown_0.01,1,2,12.0,290.43408203125,101138.0390625,98589.7421875,27.47161865234375,55964.54296875,26.528181076049805
z500_brown_0.01,1,3,18.0,290.22509765625,101137.0546875,98593.671875,27.577667236328125,55971.24609375,26.815963745117188
z500_brown_0.01,1,4,24.0,289.69854736328125,101138.40625,98595.734375,27.56342887878418,55968.62109375,26.2578125
z500_brown_0.01,1,5,30.0,290.0231628417969,101134.71875,98598.9296875,27.674165725708008,55965.8984375,26.51014518737793
z500_brown_0.01,1,6,36.0,290.47027587890625,101129.7734375,98602.1484375,27.587234497070312,55975.1953125,25.652427673339844
z500_brown_0.01,1,7,42.0,290.2650146484375,101132.0546875,98604.8984375,27.651533126831055,55980.63671875,25.82699203491211
z500_brown_0.01,1,8,48.0,289.7154541015625,101136.140625,98605.8359375,27.59950828552246,55974.71875,25.158023834228516
z500_brown_0.01,1,9,54.0,290.0481872558594,101134.421875,98607.8984375,27.69877052307129,55968.515625,25.367931365966797
z500_brown_0.01,1,10,60.0,290.4600524902344,101131.546875,98610.21875,27.611637115478516,55974.55078125,24.433734893798828
z500_brown_0.01,1,11,66.0,290.2570495605469,101134.875,98611.7109375,27.674711227416992,55977.98046875,24.477519989013672
z500_brown_0.01,1,12,72.0,289.7138671875,101139.8359375,98611.65625,27.640548706054688,55971.1796875,23.677825927734375
z500_brown_0.01,1,13,78.0,290.02490234375,101138.71875,98612.203125,27.745670318603516,55964.265625,23.834070205688477
z500_brown_0.01,1,14,84.0,290.4200134277344,101135.6171875,98613.03125,27.666074752807617,55969.66796875,23.18756675720215
z500_brown_0.01,1,15,90.0,290.21600341796875,101138.78125,98613.703125,27.722257614135742,55971.67578125,23.386873245239258
z500_brown_0.01,1,16,96.0,289.69696044921875,101143.5234375,98613.015625,27.66938591003418,55962.921875,22.695451736450195
z500_brown_0.01,1,17,102.0,290.0007629394531,101141.6484375,98612.734375,27.75082015991211,55953.19921875,22.927812576293945
z500_brown_0.01,1,18,108.0,290.39959716796875,101137.0703125,98612.78125,27.66670799255371,55956.56640625,22.342300415039062
z500_brown_0.01,1,19,114.0,290.20391845703125,101139.390625,98613.1796875,27.72894859313965,55957.28125,22.696430206298828
z500_brown_0.01,1,20,120.0,289.6654968261719,101143.484375,98612.046875,27.70383071899414,55948.06640625,22.332660675048828
z500_brown_0.01,2,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55954.6015625,28.030807495117188
z500_brown_0.01,2,1,6.0,289.92694091796875,101148.1015625,98586.484375,27.535743713378906,55953.625,27.225757598876953
z500_brown_0.01,2,2,12.0,290.4318542480469,101138.1796875,98589.71875,27.468442916870117,55964.5,26.54340362548828
z500_brown_0.01,2,3,18.0,290.2252197265625,101137.1640625,98593.6484375,27.57463836669922,55971.1328125,26.849958419799805
z500_brown_0.01,2,4,24.0,289.6978759765625,101138.5234375,98595.734375,27.559215545654297,55968.53125,26.292417526245117
z500_brown_0.01,2,5,30.0,290.0206298828125,101134.8515625,98598.8984375,27.670207977294922,55965.8203125,26.542146682739258
z500_brown_0.01,2,6,36.0,290.469482421875,101129.859375,98602.0859375,27.58310890197754,55975.10546875,25.686309814453125
z500_brown_0.01,2,7,42.0,290.2642822265625,101132.1015625,98604.7890625,27.64599609375,55980.546875,25.861080169677734
z500_brown_0.01,2,8,48.0,289.7146911621094,101136.2109375,98605.734375,27.59419059753418,55974.6640625,25.183303833007812
z500_brown_0.01,2,9,54.0,290.0475158691406,101134.5,98607.84375,27.694360733032227,55968.52734375,25.384159088134766
z500_brown_0.01,2,10,60.0,290.4601135253906,101131.6171875,98610.171875,27.60733413696289,55974.625,24.445411682128906
z500_brown_0.01,2,11,66.0,290.2566223144531,101134.921875,98611.6796875,27.67057228088379,55978.1015625,24.491878509521484
z500_brown_0.01,2,12,72.0,289.7127990722656,101139.890625,98611.65625,27.63599967956543,55971.33984375,23.68467140197754
z500_brown_0.01,2,13,78.0,290.0245056152344,101138.734375,98612.1953125,27.740694046020508,55964.40234375,23.83654022216797
z500_brown_0.01,2,14,84.0,290.4210510253906,101135.5859375,98613.0,27.659975051879883,55969.79296875,23.180471420288086
z500_brown_0.01,2,15,90.0,290.2167663574219,101138.671875,98613.6015625,27.71746826171875,55971.765625,23.379024505615234
z500_brown_0.01,2,16,96.0,289.6980285644531,101143.2890625,98612.8046875,27.666913986206055,55962.98828125,22.695140838623047
z500_brown_0.01,2,17,102.0,290.00341796875,101141.3359375,98612.4453125,27.749452590942383,55953.2734375,22.936077117919922
z500_brown_0.01,2,18,108.0,290.4033203125,101136.640625,98612.3984375,27.666332244873047,55956.5859375,22.358604431152344
z500_brown_0.01,2,19,114.0,290.2069396972656,101138.9375,98612.78125,27.729469299316406,55957.3359375,22.732524871826172
z500_brown_0.01,2,20,120.0,289.668701171875,101142.984375,98611.625,27.704490661621094,55948.2109375,22.369670867919922
z500_brown_0.01,3,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55956.6875,28.030807495117188
z500_brown_0.01,3,1,6.0,289.93023681640625,101148.1015625,98586.625,27.534372329711914,55953.96875,27.227502822875977
z500_brown_0.01,3,2,12.0,290.4291687011719,101138.203125,98589.875,27.47119903564453,55964.625,26.529226303100586
z500_brown_0.01,3,3,18.0,290.2226257324219,101137.1875,98593.8203125,27.577531814575195,55971.19921875,26.8222713470459
z500_brown_0.01,3,4,24.0,289.69720458984375,101138.515625,98595.8828125,27.563344955444336,55968.5390625,26.268068313598633
z500_brown_0.01,3,5,30.0,290.0213623046875,101134.8125,98599.0234375,27.674488067626953,55965.78515625,26.51972007751465
z500_brown_0.01,3,6,36.0,290.46807861328125,101129.859375,98602.2421875,27.587278366088867,55975.12109375,25.66139030456543
z500_brown_0.01,3,7,42.0,290.26397705078125,101132.125,98604.96875,27.650354385375977,55980.5859375,25.83740234375
z500_brown_0.01,3,8,48.0,289.71466064453125,101136.234375,98605.8984375,27.598031997680664,55974.70703125,25.168697357177734
z500_brown_0.01,3,9,54.0,290.04736328125,101134.53125,98607.9609375,27.69721031188965,55968.52734375,25.37503433227539
z500_brown_0.01,3,10,60.0,290.459228515625,101131.6953125,98610.3125,27.610898971557617,55974.59375,24.43834686279297
z500_brown_0.01,3,11,66.0,290.2566223144531,101135.0,98611.78125,27.674694061279297,55978.01953125,24.479637145996094
z500_brown_0.01,3,12,72.0,289.7132568359375,101139.921875,98611.6953125,27.640928268432617,55971.22265625,23.670454025268555
z500_brown_0.01,3,13,78.0,290.0242004394531,101138.828125,98612.234375,27.745319366455078,55964.31640625,23.82854461669922
z500_brown_0.01,3,14,84.0,290.4201354980469,101135.734375,98613.046875,27.664623260498047,55969.6796875,23.18920135498047
z500_brown_0.01,3,15,90.0,290.2165832519531,101138.8828125,98613.734375,27.71980857849121,55971.6875,23.39204978942871
z500_brown_0.01,3,16,96.0,289.69720458984375,101143.6171875,98613.046875,27.66684341430664,55962.90625,22.70259666442871
z500_brown_0.01,3,17,102.0,290.000244140625,101141.7578125,98612.765625,27.747861862182617,55953.1328125,22.933429718017578
z500_brown_0.01,3,18,108.0,290.39959716796875,101137.1328125,98612.78125,27.66463279724121,55956.4375,22.342771530151367
z500_brown_0.01,3,19,114.0,290.2034606933594,101139.4296875,98613.1875,27.726852416992188,55957.140625,22.698535919189453
z500_brown_0.01,3,20,120.0,289.66455078125,101143.484375,98612.046875,27.70186424255371,55947.8984375,22.329565048217773
