config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
z500_brown_200,0,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55954.65625,28.030807495117188
z500_brown_200,0,1,6.0,289.9397277832031,101147.921875,98586.4921875,27.53135871887207,55953.76171875,27.229013442993164
z500_brown_200,0,2,12.0,290.43695068359375,101138.03125,98589.71875,27.46768569946289,55964.64453125,26.543458938598633
z500_brown_200,0,3,18.0,290.22723388671875,101137.0390625,98593.6484375,27.575010299682617,55971.3125,26.836952209472656
z500_brown_200,0,4,24.0,289.69952392578125,101138.4296875,98595.734375,27.560747146606445,55968.69921875,26.27693748474121
z500_brown_200,0,5,30.0,290.0235290527344,101134.765625,98598.90625,27.67137908935547,55965.984375,26.5274715423584
z500_brown_200,0,6,36.0,290.4718933105469,101129.796875,98602.1171875,27.584550857543945,55975.2734375,25.672222137451172
z500_brown_200,0,7,42.0,290.265869140625,101132.0546875,98604.8828125,27.64912223815918,55980.69921875,25.84641456604004
z500_brown_200,0,8,48.0,289.7165222167969,101136.1640625,98605.8203125,27.598011016845703,55974.78515625,25.169689178466797
z500_brown_200,0,9,54.0,290.0494689941406,101134.453125,98607.921875,27.69820785522461,55968.59765625,25.373701095581055
z500_brown_200,0,10,60.0,290.4617614746094,101131.59375,98610.25,27.611230850219727,55974.65625,24.43468475341797
z500_brown_200,0,11,66.0,290.2579650878906,101134.9453125,98611.78125,27.674346923828125,55978.125,24.474895477294922
z500_brown_200,0,12,72.0,289.7143249511719,101139.921875,98611.7734375,27.639381408691406,55971.33203125,23.671201705932617
z500_brown_200,0,13,78.0,290.026123046875,101138.7734375,98612.3046875,27.743799209594727,55964.38671875,23.82696533203125
z500_brown_200,0,14,84.0,290.421630859375,101135.6328125,98613.125,27.66399383544922,55969.74609375,23.176755905151367
z500_brown_200,0,15,90.0,290.2168273925781,101138.75,98613.7421875,27.721147537231445,55971.7109375,23.38231086730957
z500_brown_200,0,16,96.0,289.6981506347656,101143.421875,98612.9921875,27.670045852661133,55962.93359375,22.707618713378906
z500_brown_200,0,17,102.0,290.00323486328125,101141.5,98612.671875,27.752201080322266,55953.23046875,22.957998275756836
z500_brown_200,0,18,108.0,290.4021911621094,101136.859375,98612.6484375,27.667320251464844,55956.5703125,22.380826950073242
z500_brown_200,0,19,114.0,290.2062072753906,101139.15625,98613.0234375,27.72998809814453,55957.29296875,22.75550651550293
z500_brown_200,0,20,120.0,289.6675720214844,101143.21875,98611.8359375,27.70440673828125,55948.1484375,22.397350311279297
z500_brown_200,1,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55975.3515625,28.030807495117188
z500_brown_200,1,1,6.0,289.9742736816406,101147.890625,98589.34375,27.542917251586914,55958.90234375,27.166927337646484
z500_brown_200,1,2,12.0,290.4734191894531,101138.046875,98592.7265625,27.48396110534668,55967.90625,26.545528411865234
z500_brown_200,1,3,18.0,290.25604248046875,101137.140625,98596.2265625,27.59326934814453,55974.15234375,26.835256576538086
z500_brown_200,1,4,24.0,289.7196960449219,101138.71875,98597.9296875,27.576997756958008,55971.41015625,26.268308639526367
z500_brown_200,1,5,30.0,290.040771484375,101135.1640625,98600.859375,27.68204116821289,55968.703125,26.52298927307129
z500_brown_200,1,6,36.0,290.4933166503906,101130.0859375,98603.671875,27.594690322875977,55977.71484375,25.687938690185547
z500_brown_200,1,7,42.0,290.2826232910156,101132.3046875,98606.140625,27.660152435302734,55982.984375,25.860027313232422
z500_brown_200,1,8,48.0,289.7325744628906,101136.34375,98606.8671875,27.612974166870117,55976.890625,25.15421485900879
z500_brown_200,1,9,54.0,290.0630187988281,101134.546875,98608.8046875,27.716432571411133,55970.56640625,25.343610763549805
z500_brown_200,1,10,60.0,290.477783203125,101131.6171875,98611.0078125,27.629642486572266,55976.5,24.42163848876953
z500_brown_200,1,11,66.0,290.2729187011719,101135.0546875,98612.578125,27.690414428710938,55980.0390625,24.46804428100586
z500_brown_200,1,12,72.0,289.7275085449219,101140.15625,98612.5703125,27.651615142822266,55973.26953125,23.67780876159668
z500_brown_200,1,13,78.0,290.0412902832031,101138.890625,98612.9375,27.75065040588379,55966.15234375,23.849023818969727
z500_brown_200,1,14,84.0,290.43670654296875,101135.671875,98613.6484375,27.668258666992188,55971.30078125,23.170278549194336
z500_brown_200,1,15,90.0,290.2260437011719,101138.671875,98614.078125,27.72684669494629,55973.0078125,23.3933162689209
z500_brown_200,1,16,96.0,289.70623779296875,101143.1796875,98613.1328125,27.682126998901367,55964.125,22.7891788482666
z500_brown_200,1,17,102.0,290.01751708984375,101141.1328125,98612.7265625,27.76939582824707,55954.36328125,23.106494903564453
z500_brown_200,1,18,108.0,290.4172058105469,101136.4296875,98612.625,27.679874420166016,55957.51953125,22.599594116210938
z500_brown_200,1,19,114.0,290.2195129394531,101138.6484375,98612.8203125,27.74173927307129,55958.046875,23.076152801513672
z500_brown_200,1,20,120.0,289.6813659667969,101142.6875,98611.46875,27.712045669555664,55949.0078125,22.783397674560547
z500_brown_200,2,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55980.5859375,28.030807495117188
z500_brown_200,2,1,6.0,289.88079833984375,101149.1796875,98589.03125,27.57608985900879,55957.9296875,27.11671257019043
z500_brown_200,2,2,12.0,290.4083251953125,101139.2890625,98592.515625,27.51123046875,55966.40625,26.4357852935791
z500_brown_200,2,3,18.0,290.21490478515625,101138.0859375,98596.1171875,27.611501693725586,55972.27734375,26.769533157348633
z500_brown_200,2,4,24.0,289.6959228515625,101139.328125,98597.875,27.59299659729004,55969.4453125,26.24574851989746
z500_brown_200,2,5,30.0,290.0167541503906,101135.4296875,98600.5625,27.701663970947266,55966.52734375,26.487287521362305
z500_brown_200,2,6,36.0,290.4606628417969,101130.46875,98603.5,27.609878540039062,55975.93359375,25.618663787841797
z500_brown_200,2,7,42.0,290.26171875,101132.6875,98605.9453125,27.667478561401367,55981.44140625,25.7932071685791
z500_brown_200,2,8,48.0,289.7130432128906,101136.8046875,98606.7109375,27.61121940612793,55975.69921875,25.14992332458496
z500_brown_200,2,9,54.0,290.0453186035156,101135.0625,98608.59375,27.708999633789062,55969.55859375,25.363082885742188
z500_brown_200,2,10,60.0,290.4570617675781,101132.28125,98610.859375,27.621583938598633,55975.7109375,24.448143005371094
z500_brown_200,2,11,66.0,290.2588806152344,101135.453125,98612.1328125,27.68549156188965,55979.1796875,24.4960880279541
z500_brown_200,2,12,72.0,289.7136535644531,101140.3359375,98611.9140625,27.650121688842773,55972.5546875,23.674781799316406
z500_brown_200,2,13,78.0,290.02166748046875,101139.359375,98612.3984375,27.752477645874023,55965.8125,23.83594512939453
